PRODUCT,SUBPRODUCT,SERVICE NAME,NAMESPACE,NOT FOUND? Please add the name and gitrepo details at the end
Brand Kit,Brand Kit,generator,ai-frameworks-ns,
Brand Kit,Brand Kit,knowledge-vault,ai-frameworks-ns,
Brand Kit,Brand Kit,retriever,ai-frameworks-ns,
Brand Kit,Brand Kit,vectorizer,ai-frameworks-ns,
AI Platform,AI Config Store,ai-frameworks-ai-config-store-grpc,ai-frameworks-ns,
AI Platform,AI Config Store,ai-frameworks-ai-config-store-service,ai-frameworks-ns,
AI Platform,AI Platform,ai-frameworks-ai-platform-service,ai-frameworks-ns,
AI Platform,AI Platform,ai-frameworks-the-vault-service,ai-frameworks-ns,
AI Platform,AI Platform,ai-platform-controlplane-service,ai-platform-ns,
Platform,Data Engineering,analytics-consumer,analytics,
Platform,Data Engineering,data-analytics-api,analytics,
Agent OS,Polaris,ask-ai-backend-service,ask-ai-ns,
Platform,Org Admin,auth-background-jobs-service,auth-ns,
Platform,Org Admin,auth-policy-service,auth-ns,
Platform,Org Admin,auth-service,auth-ns,
Platform,Org Admin,connected-apps-service,auth-ns,
Platform,Org Admin,connection-validation-service,auth-ns,
Automate,Automate,automations-api,automations-ns,
Automate,Automate,automations-engine,automations-ns,
AI Platform,AI Assistant,bg-remover-service,brand-ai-ns,
AI Platform,AI Assistant,brand-ai-assistant-service,brand-ai-ns,
Brand Kit,Brand Kit,brand-generative-service,brand-ai-ns,
Brand Kit,Brand Kit,brand-ingestion-service,brand-ai-ns,
Brand Kit,Brand Kit,brand-kit-grpc,brand-ai-ns,
Brand Kit,Brand Kit,brand-kits,brand-ai-ns,
CMS,Content Delivery,assets-delivery-api,cda-ns,
CMS,Content Delivery,assets-delivery-api-accelerate01,cda-ns,
CMS,Content Delivery,assets-delivery-api-airbnb,cda-ns,
CMS,Content Delivery,assets-delivery-api-asics01,cda-ns,
CMS,Content Delivery,assets-delivery-api-lego,cda-ns,
CMS,Content Delivery,assets-delivery-api-scale01,cda-ns,
CMS,Content Delivery,assets-delivery-api-start01,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-accelerate01,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-airbnb,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-asics01,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-lego,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-scale01,cda-ns,
CMS,Content Delivery,assets-delivery-api-shadow-warmer-start01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-accelerate01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-airbnb01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-asics01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-lego01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-scale01,cda-ns,
CMS,Content Delivery,cda-dj-v3-2-single-start01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-accelerate01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-airbnb,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-asics01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-lego,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-scale01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v3-2-start01,cda-ns,
CMS,Content Delivery,cdn-purge-aggregator-v4,cda-ns,
CMS,Content Delivery,cdn-purge-batcher-v4,cda-ns,
CMS,Content Delivery,cdn-purge-batcher-v4-cf,cda-ns,
CMS,Content Delivery,cdn-purge-dispatcher-v4,cda-ns,
CMS,Content Delivery,cdn-purge-dispatcher-v4-cf,cda-ns,
CMS,Content Delivery,cda-published-contents,cda-ns,
CMS,Content Delivery,content-delivery-api,cda-ns,
CMS,Content Delivery,content-delivery-api-accelerate01,cda-ns,
CMS,Content Delivery,content-delivery-api-airbnb,cda-ns,
CMS,Content Delivery,content-delivery-api-asics01,cda-ns,
CMS,Content Delivery,content-delivery-api-lego,cda-ns,
CMS,Content Delivery,content-delivery-api-scale01,cda-ns,
CMS,Content Delivery,content-delivery-api-start01,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-accelerate01,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-airbnb,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-asics01,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-lego,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-scale01,cda-ns,
CMS,Content Delivery,content-delivery-api-shadow-warmer-start01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-accelerate01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-airbnb,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-asics01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-lego,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-scale01,cda-ns,
CMS,Content Delivery,content-delivery-dj-v2-start01,cda-ns,
CMS,Content Delivery,graphql-delivery-api,cda-ns,
CMS,Content Delivery,graphql-delivery-api-accelerate01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-airbnb,cda-ns,
CMS,Content Delivery,graphql-delivery-api-asics01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-lego,cda-ns,
CMS,Content Delivery,graphql-delivery-api-scale01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-start01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-accelerate01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-airbnb,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-asics01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-lego,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-scale01,cda-ns,
CMS,Content Delivery,graphql-delivery-api-shadow-warmer-start01,cda-ns,
CMS,Content Delivery,jobs-distributor-dj,cda-ns,
CMS,Content Delivery,content-delivery-jobs-distributor-v3-2,cda-ns,
CMS,Content Delivery,cda-long-running-job,cda-ns,
CMS,Content Delivery,cda-long-running-job-accelerate01,cda-ns,
CMS,Content Delivery,cda-long-running-job-airbnb01,cda-ns,
CMS,Content Delivery,cda-long-running-job-asics01,cda-ns,
CMS,Content Delivery,cda-long-running-job-lego01,cda-ns,
CMS,Content Delivery,cda-long-running-job-scale01,cda-ns,
CMS,Content Delivery,cda-long-running-job-start01,cda-ns,
CMS,Content Delivery,cdn-purge-dj,cda-ns,
CMS,Content Delivery,cdn-purge-dj-v3-2,cda-ns,
CMS,Content Delivery,content-delivery-dj,cda-ns,
CMS,Content Delivery,content-delivery-dj-accelerate01,cda-ns,
CMS,Content Delivery,content-delivery-dj-airbnb,cda-ns,
CMS,Content Delivery,content-delivery-dj-asics01,cda-ns,
CMS,Content Delivery,content-delivery-dj-lego,cda-ns,
CMS,Content Delivery,content-delivery-dj-scale01,cda-ns,
CMS,Content Delivery,content-delivery-dj-start01,cda-ns,
CMS,Content Delivery,publish-api-v3-2,cda-ns,
CMS,Content Delivery,cda-jobs-scheduler-v3-2,cda-ns,
CMS,Content Management,cma-api,cma-ns,
CMS,Content Management,cma-api-lego,cma-ns,
CMS,Content Management,cma-cdn,cma-ns,
CMS,Content Management,cma-cdn-lego,cma-ns,
CMS,Venus,cma-venus,cma-ns,
CMS,Content Management,bulk-action,cma-ns,
CMS,Content Management,cma-api-airbnb,cma-ns,
CMS,Content Management,cma-uploads,cma-ns,
CMS,Assets,cma-assets-service,cma-ns,
CMS,Venus,cma-venus-bradsdeals,cma-ns,
